Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [hepatotoxicity status]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [sex]	Term Source REF	Term Accession Number	Characteristics [strain]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [hepatotoxicity status]
GSM1662204 1	gene expression data from the blood sample of one of the 5 most susceptible rats before acetaminophen treatment	blood sample of one of the 5 most susceptible rats before acetaminophen treatment	most susceptible, predose biological rep5	susceptible	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662204 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662204 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662204	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662204_A-5-3_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662204_sample_table.txt norm	GSM1662204_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	susceptible
GSM1662203 1	gene expression data from the blood sample of one of the 5 most susceptible rats before acetaminophen treatment	blood sample of one of the 5 most susceptible rats before acetaminophen treatment	most susceptible, predose biological rep4	susceptible	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662203 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662203 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662203	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662203_A-4-2_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662203_sample_table.txt norm	GSM1662203_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	susceptible
GSM1662202 1	gene expression data from the blood sample of one of the 5 most susceptible rats before acetaminophen treatment	blood sample of one of the 5 most susceptible rats before acetaminophen treatment	most susceptible, predose biological rep3	susceptible	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662202 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662202 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662202	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662202_A-2-8_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662202_sample_table.txt norm	GSM1662202_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	susceptible
GSM1662201 1	gene expression data from the blood sample of one of the 5 most susceptible rats before acetaminophen treatment	blood sample of one of the 5 most susceptible rats before acetaminophen treatment	most susceptible, predose biological rep2	susceptible	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662201 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662201 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662201	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662201_A-2-6_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662201_sample_table.txt norm	GSM1662201_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	susceptible
GSM1662200 1	gene expression data from the blood sample of one of the 5 most susceptible rats before acetaminophen treatment	blood sample of one of the 5 most susceptible rats before acetaminophen treatment	most susceptible, predose biological rep1	susceptible	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662200 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662200 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662200	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662200_A-2-3_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662200_sample_table.txt norm	GSM1662200_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	susceptible
GSM1662199 1	gene expression data from the blood sample of one of the 5 most resistant rats before acetaminophen treatment	blood sample of one of the 5 most resistant rats before acetaminophen treatment	most resistant, predose biological rep5	resistant	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662199 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662199 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662199	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662199_A-4-8_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662199_sample_table.txt norm	GSM1662199_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	resistant
GSM1662198 1	gene expression data from the blood sample of one of the 5 most resistant rats before acetaminophen treatment	blood sample of one of the 5 most resistant rats before acetaminophen treatment	most resistant, predose biological rep4	resistant	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662198 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662198 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662198	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662198_A-3-2_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662198_sample_table.txt norm	GSM1662198_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	resistant
GSM1662197 1	gene expression data from the blood sample of one of the 5 most resistant rats before acetaminophen treatment	blood sample of one of the 5 most resistant rats before acetaminophen treatment	most resistant, predose biological rep3	resistant	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662197 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662197 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662197	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662197_A-1-8_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662197_sample_table.txt norm	GSM1662197_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	resistant
GSM1662196 1	gene expression data from the blood sample of one of the 5 most resistant rats before acetaminophen treatment	blood sample of one of the 5 most resistant rats before acetaminophen treatment	most resistant, predose biological rep2	resistant	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662196 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662196 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662196	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662196_A-1-1_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662196_sample_table.txt norm	GSM1662196_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	resistant
GSM1662195 1	gene expression data from the blood sample of one of the 5 most resistant rats before acetaminophen treatment	blood sample of one of the 5 most resistant rats before acetaminophen treatment	most resistant, predose biological rep1	resistant	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662195 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662195 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662195	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662195_A-0-1_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662195_sample_table.txt norm	GSM1662195_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	resistant
