Experiment: 2015-06-08_Strnad  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	J20	Sample 236	32.88		0	
True	255	J21	Sample 237	32.19		0	
True	255	J22	Sample 238	32.23		0	
True	255	J23	Sample 239	31.71		0	
True	255	J24	Sample 240	32.16		0	
True	65280	K1	Sample 241			0	
True	65280	K2	Sample 242			0	
True	65280	K3	Sample 243			0	
True	255	K4	Sample 244	37.06		0	
True	65280	K5	Sample 245			0	
True	65280	K6	Sample 246			0	
True	65280	K7	Sample 247			0	
True	65280	K8	Sample 248			0	
True	65280	K9	Sample 249			0	
True	65280	K10	Sample 250			0	
True	65280	K11	Sample 251			0	
True	65280	K12	Sample 252			0	
True	65280	K13	Sample 253			0	
True	65280	K14	Sample 254			0	
True	65280	K15	Sample 255			0	
True	255	K16	Sample 256	37.76		0	
True	65280	K17	Sample 257			0	
True	65280	K18	Sample 258			0	
True	65280	K19	Sample 259			0	
True	65280	K20	Sample 260			0	
True	65280	K21	Sample 261			0	
True	65280	K22	Sample 262			0	
True	65280	K23	Sample 263			0	
True	65280	K24	Sample 264			0	
True	255	L1	Sample 265	28.17		0	
True	255	L2	Sample 266	27.79		0	
True	255	L3	Sample 267	28.01		0	
True	255	L4	Sample 268	27.20		0	
True	255	L5	Sample 269	27.55		0	
True	255	L6	Sample 270	28.03		0	
True	255	L7	Sample 271	28.42		0	
True	255	L8	Sample 272	27.79		0	
True	255	L9	Sample 273	26.63		0	
True	255	L10	Sample 274	27.10		0	
True	255	L11	Sample 275	25.71		0	
True	255	L12	Sample 276	26.84		0	
True	255	L13	Sample 277	25.48		0	
True	255	L14	Sample 278	25.67		0	
True	255	L15	Sample 279	25.16		0	
True	255	L16	Sample 280	25.62		0	
True	255	L17	Sample 281	24.72		0	
True	255	L18	Sample 282	24.79		0	
True	255	L19	Sample 283	24.92		0	
True	255	L20	Sample 284	25.44		0	
True	255	L21	Sample 285	25.19		0	
True	255	L22	Sample 286	25.60		0	
True	255	L23	Sample 287	24.85		0	
True	255	L24	Sample 288	25.19		0	
True	255	M1	Sample 289	22.57		0	
True	255	M2	Sample 290	22.81		0	
True	255	M3	Sample 291	21.95		0	
True	255	M4	Sample 292	21.84		0	
True	255	M5	Sample 293	21.90		0	
True	255	M6	Sample 294	22.07		0	
True	255	M7	Sample 295	21.75		0	
True	255	M8	Sample 296	22.03		0	
True	255	M9	Sample 297	20.99		0	
True	255	M10	Sample 298	21.14		0	
True	255	M11	Sample 299	19.91		0	
True	255	M12	Sample 300	20.07		0	
True	255	M13	Sample 301	20.42		0	
True	255	M14	Sample 302	20.04		0	
True	255	M15	Sample 303	19.95		0	
True	255	M16	Sample 304	19.94		0	
True	255	M17	Sample 305	18.18		0	
True	255	M18	Sample 306	18.60		0	
True	255	M19	Sample 307	19.20		0	
True	255	M20	Sample 308	19.31		0	
True	255	M21	Sample 309	18.65		0	
True	255	M22	Sample 310	18.11		0	
True	255	M23	Sample 311	18.67		0	
True	255	M24	Sample 312	18.84		0	
True	65280	N1	Sample 313			0	
True	65280	N2	Sample 314			0	
True	65280	N3	Sample 315			0	
True	65280	N4	Sample 316			0	
True	65280	N5	Sample 317			0	
True	65280	N6	Sample 318			0	
True	65280	N7	Sample 319			0	
True	65280	N8	Sample 320			0	
True	65280	N9	Sample 321			0	
True	65280	N10	Sample 322			0	
True	65280	N11	Sample 323			0	
True	65280	N12	Sample 324			0	
True	65280	N13	Sample 325			0	
True	65280	N14	Sample 326			0	
True	65280	N15	Sample 327			0	
True	65280	N16	Sample 328			0	
True	65280	N17	Sample 329			0	
True	65280	N18	Sample 330			0	
True	65280	N19	Sample 331			0	
True	65280	N20	Sample 332			0	
True	65280	N21	Sample 333			0	
True	65280	N22	Sample 334			0	
True	65280	N23	Sample 335			0	
True	65280	N24	Sample 336			0	
True	65280	O1	Sample 337			0	
True	65280	O2	Sample 338			0	
True	65280	O3	Sample 339			0	
True	65280	O4	Sample 340			0	
True	65280	O5	Sample 341			0	
True	65280	O6	Sample 342			0	
True	65280	O7	Sample 343			0	
True	65280	O8	Sample 344			0	
True	65280	O9	Sample 345			0	
True	65280	O10	Sample 346			0	
True	65280	O11	Sample 347			0	
True	65280	O12	Sample 348			0	
True	65280	O13	Sample 349			0	
True	65280	O14	Sample 350			0	
True	65280	O15	Sample 351			0	
True	65280	O16	Sample 352			0	
True	65280	O17	Sample 353			0	
True	65280	O18	Sample 354			0	
True	65280	O19	Sample 355			0	
True	65280	O20	Sample 356			0	
True	65280	O21	Sample 357			0	
True	65280	O22	Sample 358			0	
True	65280	O23	Sample 359			0	
True	65280	O24	Sample 360			0	
True	65280	P1	Sample 361			0	
True	65280	P2	Sample 362			0	
True	65280	P3	Sample 363			0	
True	65280	P4	Sample 364			0	
True	65280	P5	Sample 365			0	
True	65280	P6	Sample 366			0	
True	65280	P7	Sample 367			0	
True	255	P8	Sample 368	33.68		0	
True	65280	P9	Sample 369			0	
True	65280	P10	Sample 370			0	
True	65280	P11	Sample 371			0	
True	65280	P12	Sample 372			0	
True	65280	P13	Sample 373			0	
True	65280	P14	Sample 374			0	
True	65280	P15	Sample 375			0	
True	65280	P16	Sample 376			0	
True	65280	P17	Sample 377			0	
True	65280	P18	Sample 378			0	
True	65280	P19	Sample 379			0	
True	65280	P20	Sample 380			0	
True	65280	P21	Sample 381			0	
True	65280	P22	Sample 382			0	
True	65280	P23	Sample 383			0	
True	65280	P24	Sample 384			0	
